"","Date","Open","Close","Adj.Close","Volume","Result","Value"
"179","2010_11_3",21.280001,21.77,21.77,372600,"High",22.5
"180","2010_11_3",21.280001,21.77,21.77,372600,"Low",21.16
"181","2010_11_4",22.6,24.9,24.9,1874000,"High",25.33
"182","2010_11_4",22.6,24.9,24.9,1874000,"Low",22.15
"183","2010_11_5",24.870001,24.440001,24.440001,1011000,"High",24.969999
"184","2010_11_5",24.870001,24.440001,24.440001,1011000,"Low",23.719999
"185","2010_11_8",24.5,24.98,24.98,509500,"High",25
"186","2010_11_8",24.5,24.98,24.98,509500,"Low",24.030001
"187","2010_11_9",25,24.629999,24.629999,956400,"High",25.690001
"188","2010_11_9",25,24.629999,24.629999,956400,"Low",24.049999
"189","2010_11_10",24.48,29.360001,29.360001,3060500,"High",29.969999
"190","2010_11_10",24.48,29.360001,29.360001,3060500,"Low",24.049999
"191","2010_11_11",28.6,28.040001,28.040001,1945300,"High",29.1
"192","2010_11_11",28.6,28.040001,28.040001,1945300,"Low",27.33
"193","2010_11_12",28.25,29.84,29.84,2729100,"High",30.5
"194","2010_11_12",28.25,29.84,29.84,2729100,"Low",28.07
"195","2010_11_15",30.219999,30.799999,30.799999,2622900,"High",32.939999
"196","2010_11_15",30.219999,30.799999,30.799999,2622900,"Low",30.219999
"197","2010_11_16",31,29.67,29.67,1347600,"High",31.4
"198","2010_11_16",31,29.67,29.67,1347600,"Low",28.42
"199","2010_11_17",30.200001,29.49,29.49,750000,"High",30.75
"200","2010_11_17",30.200001,29.49,29.49,750000,"Low",28.610001
"201","2010_11_18",30.67,29.889999,29.889999,956100,"High",30.74
"202","2010_11_18",30.67,29.889999,29.889999,956100,"Low",28.92
"203","2010_11_19",30.16,30.99,30.99,1150500,"High",31.370001
"204","2010_11_19",30.16,30.99,30.99,1150500,"Low",29.700001
"205","2010_11_22",31.57,33.400002,33.400002,1529700,"High",33.450001
"206","2010_11_22",31.57,33.400002,33.400002,1529700,"Low",31.5
"207","2010_11_23",33.290001,34.57,34.57,1577800,"High",35.68
"208","2010_11_23",33.290001,34.57,34.57,1577800,"Low",32.189999
"209","2010_11_24",35.27,35.470001,35.470001,1425000,"High",35.970001
"210","2010_11_24",35.27,35.470001,35.470001,1425000,"Low",34.330002
"211","2010_11_26",35.599998,35.32,35.32,350600,"High",36
"212","2010_11_26",35.599998,35.32,35.32,350600,"Low",34.75
"213","2010_11_29",35.41,34.330002,34.330002,1145600,"High",35.950001
"214","2010_11_29",35.41,34.330002,34.330002,1145600,"Low",33.330002
"215","2010_11_30",33.740002,35.330002,35.330002,2222600,"High",35.330002
"216","2010_11_30",33.740002,35.330002,35.330002,2222600,"Low",33.41
"217","2010_12_1",35.869999,34.349998,34.349998,1299200,"High",36.419998
"218","2010_12_1",35.869999,34.349998,34.349998,1299200,"Low",33.450001
"219","2010_12_2",34.009998,32.349998,32.349998,2007000,"High",34.299999
"220","2010_12_2",34.009998,32.349998,32.349998,2007000,"Low",31.200001
"221","2010_12_3",32.009998,31.49,31.49,1160100,"High",32.25
"222","2010_12_3",32.009998,31.49,31.49,1160100,"Low",30.870001
"223","2010_12_6",31.35,30.309999,30.309999,1274400,"High",31.450001
"224","2010_12_6",31.35,30.309999,30.309999,1274400,"Low",29.559999
"225","2010_12_7",30.49,31.559999,31.559999,1311300,"High",32.400002
"226","2010_12_7",30.49,31.559999,31.559999,1311300,"Low",30.049999
"227","2010_12_8",32.48,32.369999,32.369999,660000,"High",32.490002
"228","2010_12_8",32.48,32.369999,32.369999,660000,"Low",31.52
"229","2010_12_9",32.509998,32.049999,32.049999,406000,"High",32.720001
"230","2010_12_9",32.509998,32.049999,32.049999,406000,"Low",31.65
"231","2010_12_10",32.049999,31.52,31.52,429400,"High",32.919998
"232","2010_12_10",32.049999,31.52,31.52,429400,"Low",31.129999
"233","2010_12_13",31.639999,30.549999,30.549999,410400,"High",31.77
"234","2010_12_13",31.639999,30.549999,30.549999,410400,"Low",30.4
"235","2010_12_14",30.290001,28.530001,28.530001,1765700,"High",30.389999
"236","2010_12_14",30.290001,28.530001,28.530001,1765700,"Low",27.76
"237","2010_12_15",28.67,29.6,29.6,742900,"High",29.969999
"238","2010_12_15",28.67,29.6,29.6,742900,"Low",28.530001
"239","2010_12_16",30,30.809999,30.809999,790100,"High",30.91
"240","2010_12_16",30,30.809999,30.809999,790100,"Low",29.65
"241","2010_12_17",31.34,31.360001,31.360001,813000,"High",31.540001
"242","2010_12_17",31.34,31.360001,31.360001,813000,"Low",30.709999
"243","2010_12_20",31.639999,31.700001,31.700001,523400,"High",32.189999
"244","2010_12_20",31.639999,31.700001,31.700001,523400,"Low",31.26
"245","2010_12_21",31.799999,32.259998,32.259998,777700,"High",32.689999
"246","2010_12_21",31.799999,32.259998,32.259998,777700,"Low",31.709999
"247","2010_12_22",32.25,32.630001,32.630001,833300,"High",32.860001
"248","2010_12_22",32.25,32.630001,32.630001,833300,"Low",31.700001
"249","2010_12_23",31.26,30.09,30.09,1552600,"High",32.48
"250","2010_12_23",31.26,30.09,30.09,1552600,"Low",29.92
"251","2010_12_27",28.02,25.549999,25.549999,9301900,"High",28.58
"252","2010_12_27",28.02,25.549999,25.549999,9301900,"Low",25.059999
"253","2010_12_28",25.85,26.41,26.41,4056300,"High",26.75
"254","2010_12_28",25.85,26.41,26.41,4056300,"Low",25
"255","2010_12_29",27.030001,27.73,27.73,3319200,"High",28.01
"256","2010_12_29",27.030001,27.73,27.73,3319200,"Low",26.5
"257","2010_12_30",27.700001,26.5,26.5,2041100,"High",27.9
"258","2010_12_30",27.700001,26.5,26.5,2041100,"Low",26.379999
"259","2010_12_31",26.57,26.629999,26.629999,1417900,"High",27.25
"260","2010_12_31",26.57,26.629999,26.629999,1417900,"Low",26.5
"261","2011_1_3",26.84,26.620001,26.620001,1283000,"High",27
"262","2011_1_3",26.84,26.620001,26.620001,1283000,"Low",25.9
"263","2011_1_4",26.66,26.67,26.67,1187400,"High",26.950001
"264","2011_1_4",26.66,26.67,26.67,1187400,"Low",26.02
"265","2011_1_5",26.48,26.83,26.83,1446700,"High",26.9
"266","2011_1_5",26.48,26.83,26.83,1446700,"Low",26.190001
"267","2011_1_6",26.83,27.879999,27.879999,2061200,"High",28
"268","2011_1_6",26.83,27.879999,27.879999,2061200,"Low",26.809999
"269","2011_1_7",28,28.24,28.24,2247900,"High",28.58
"270","2011_1_7",28,28.24,28.24,2247900,"Low",27.9
"271","2011_1_10",28.17,28.450001,28.450001,1342700,"High",28.68
"272","2011_1_10",28.17,28.450001,28.450001,1342700,"Low",28.049999
"273","2011_1_11",28.59,26.959999,26.959999,1710200,"High",28.709999
"274","2011_1_11",28.59,26.959999,26.959999,1710200,"Low",26.92
"275","2011_1_12",27.01,26.959999,26.959999,964400,"High",27.4
"276","2011_1_12",27.01,26.959999,26.959999,964400,"Low",26.52
"277","2011_1_13",26.959999,26.219999,26.219999,723600,"High",26.969999
"278","2011_1_13",26.959999,26.219999,26.219999,723600,"Low",26.16
"279","2011_1_14",26.15,25.75,25.75,1192000,"High",26.58
"280","2011_1_14",26.15,25.75,25.75,1192000,"Low",25.610001
"281","2011_1_18",25.48,25.639999,25.639999,1621700,"High",25.639999
